,text,star,hp_data,city,transformed_date,product_num
137,This is good but picture sone not good,4,LG 80 cm HD Ready LED Smart WebOS TV,Chittoor District,"Apr, 2024",32LM563BPTC
138,Nice product,4,LG 80 cm HD Ready LED Smart WebOS TV,Badgam,"Apr, 2024",32LM563BPTC
139,Good 👍,4,LG 80 cm HD Ready LED Smart WebOS TV,Kodur,"Apr, 2024",32LM563BPTC
140,Nice product after using 1month write this review,4,LG 80 cm HD Ready LED Smart WebOS TV,Bengaluru,"Apr, 2024",32LM563BPTC
141,Superb,4,LG 80 cm HD Ready LED Smart WebOS TV,Thiruvananthapuram,"Apr, 2024",32LM563BPTC
142,Nice,4,LG 80 cm HD Ready LED Smart WebOS TV,Piro,"Apr, 2024",32LM563BPTC
143,Good product. value for money. But display should have enhanced,4,LG 80 cm HD Ready LED Smart WebOS TV,Nellikuppam,"Apr, 2024",32LM563BPTC
144,Good product,4,LG 80 cm HD Ready LED Smart WebOS TV,East Godavari,"Apr, 2024",32LM563BPTC
145,Good,4,LG 80 cm HD Ready LED Smart WebOS TV,Chirala,"Apr, 2024",32LM563BPTC
146,Good product and value for money.,4,LG 80 cm HD Ready LED Smart WebOS TV,Chennai,"Apr, 2024",32LM563BPTC
147,very Good product,4,LG 80 cm HD Ready LED Smart WebOS TV,Sholapur,"Apr, 2024",32LM563BPTC
148,Overall good,4,LG 80 cm HD Ready LED Smart WebOS TV,Mayurbhanj District,"Apr, 2024",32LM563BPTC
149,Super,4,LG 80 cm HD Ready LED Smart WebOS TV,Bidar,"Apr, 2024",32LM563BPTC
150,LG is best product.,4,LG 80 cm HD Ready LED Smart WebOS TV,Sultanpur District,"Apr, 2024",32LM563BPTC
151,Jj,4,LG 80 cm HD Ready LED Smart WebOS TV,Kamalapuram Karimnagar District,"Apr, 2024",32LM563BPTC
152,Very Nice 👌👌👌,4,LG 80 cm HD Ready LED Smart WebOS TV,Tiruvannamalai District,"Mar, 2024",32LM563BPTC
153,Very good 😊,2,LG 80 cm HD Ready LED Smart WebOS TV,Kalyan,"Mar, 2024",32LM563BPTC
154,Very nice with low price,4,LG 80 cm HD Ready LED Smart WebOS TV,Varanasi,"Mar, 2024",32LM563BPTC
155,Very nice tv and value for money,4,LG 80 cm HD Ready LED Smart WebOS TV,Kotpad,"Mar, 2024",32LM563BPTC
156,Value for money,4,LG 80 cm HD Ready LED Smart WebOS TV,Hyderabad,"Feb, 2024",32LM563BPTC
157,Nice product but limited apps supports cant use any vpn software,4,LG 80 cm HD Ready LED Smart WebOS TV,Mandi District,"Feb, 2024",32LM563BPTC
158,Not bad compete with same features available too,4,LG 80 cm HD Ready LED Smart WebOS TV,Piduguralla,"Feb, 2024",32LM563BPTC
159,Colour quality good,4,LG 80 cm HD Ready LED Smart WebOS TV,Wardha,"Jan, 2024",32LM563BPTC
160,"Price slightly high..
Overall satisfied",4,LG 80 cm HD Ready LED Smart WebOS TV,Khardaha,"Jan, 2024",32LM563BPTC
161,Nice but connectivity issues,4,LG 80 cm HD Ready LED Smart WebOS TV,Jabalpur,"Jan, 2024",32LM563BPTC
162,"Good product
LG always trusted
Good connectivity
Good sound
Picture quality is very good
Ease of operation
Value for money
Above Rating gives as after usage of 2 months",4,LG 80 cm HD Ready LED Smart WebOS TV,Bengaluru,"Jan, 2024",32LM563BPTC
163,Best product from LG brand.,4,LG 80 cm HD Ready LED Smart WebOS TV,Afzalpur,"Jan, 2024",32LM563BPTC
164,Very nice picture quality and sound. Installation process is so fast,4,LG 80 cm HD Ready LED Smart WebOS TV,Haldia,"Jan, 2024",32LM563BPTC
165,"Picture quality is very bad.. bright ness is more.. color is very dim, thinking LG is good , brought this. But not satisfied..",1,"LG 80 cm HD Ready LED Smart WebOS TV with Alpha75 AI Processor Gen5, Refresh Rate: 60 hertz, Magic remote capability",Bangalore,"Nov, 2023",32LQ643BPTA
166,"Within 15 days we got a problem, small black dots are seen on the screen, very bad experience,",1,"LG 80 cm HD Ready LED Smart WebOS TV with Alpha75 AI Processor Gen5, Refresh Rate: 60 hertz, Magic remote capability",Mangalagiri,"Aug, 2024",32LQ643BPTA
167,"Very bad, stand is not flexible, stand is not doing moment",1,"LG 80 cm HD Ready LED Smart WebOS TV with Alpha75 AI Processor Gen5, Refresh Rate: 60 hertz, Magic remote capability",Jewar,"Aug, 2024",32LQ643BPTA
168,"Still we are waiting for installation but the technician saying if you buy a wall mount we will install otherwise we will fix the back panel which is support for wallmount
Very bad behaviour of technician please 🙏 don't buy this 😑",1,"LG 80 cm HD Ready LED Smart WebOS TV with Alpha75 AI Processor Gen5, Refresh Rate: 60 hertz, Magic remote capability",Nizamabad District,"Aug, 2024",32LQ643BPTA
169,Worst brand,1,"LG 80 cm HD Ready LED Smart WebOS TV with Alpha75 AI Processor Gen5, Refresh Rate: 60 hertz, Magic remote capability",Bhiwandi,"Jul, 2024",32LQ643BPTA
170,Not a value for money even the flipkart delivery is getting delayed and worsed day by day...one can purchase better product within this price ...,1,"LG 80 cm HD Ready LED Smart WebOS TV with Alpha75 AI Processor Gen5, Refresh Rate: 60 hertz, Magic remote capability",Vasai Virar,"Jul, 2024",32LQ643BPTA
171,Too much laggy product.,1,"LG 80 cm HD Ready LED Smart WebOS TV with Alpha75 AI Processor Gen5, Refresh Rate: 60 hertz, Magic remote capability",Jamui,"Jul, 2024",32LQ643BPTA
172,"Not working lg tv,",1,"LG 80 cm HD Ready LED Smart WebOS TV with Alpha75 AI Processor Gen5, Refresh Rate: 60 hertz, Magic remote capability",Bengaluru,"Jul, 2024",32LQ643BPTA
173,Worst lg tv so lacking and taking time to change apps very slow,1,"LG 80 cm HD Ready LED Smart WebOS TV with Alpha75 AI Processor Gen5, Refresh Rate: 60 hertz, Magic remote capability",Visakhapatnam,"Jul, 2024",32LQ643BPTA
174,VERY BAD PRODUCT AND VERY WORST CUSTOMER CARE AND VERY WORST INSTALLATION TEAM AND 5DOES GONE BUT NOT INSTALLATION WORK FOR TIV,1,"LG 80 cm HD Ready LED Smart WebOS TV with Alpha75 AI Processor Gen5, Refresh Rate: 60 hertz, Magic remote capability",Bengaluru,"Jun, 2024",32LQ643BPTA
175,T v fitting very bad...biginchadaniki yavaru raledhu,1,"LG 80 cm HD Ready LED Smart WebOS TV with Alpha75 AI Processor Gen5, Refresh Rate: 60 hertz, Magic remote capability",East Godavari District,"Jun, 2024",32LQ643BPTA
176,"0 Stars, Never purchase this product",1,"LG 80 cm HD Ready LED Smart WebOS TV with Alpha75 AI Processor Gen5, Refresh Rate: 60 hertz, Magic remote capability",Bengaluru,"May, 2024",32LQ643BPTA
177,Never thought they dint include Bluetooth in smart tv. Complete waste of money,1,"LG 80 cm HD Ready LED Smart WebOS TV with Alpha75 AI Processor Gen5, Refresh Rate: 60 hertz, Magic remote capability",Bengaluru,"Apr, 2024",32LQ643BPTA
178,Stand is poor,1,"LG 80 cm HD Ready LED Smart WebOS TV with Alpha75 AI Processor Gen5, Refresh Rate: 60 hertz, Magic remote capability",Bellary,"Apr, 2024",32LQ643BPTA
179,"Disappointed this item
Bad picture quality
Sound quality is also very bad",1,"LG 80 cm HD Ready LED Smart WebOS TV with Alpha75 AI Processor Gen5, Refresh Rate: 60 hertz, Magic remote capability",Bengaluru,"Mar, 2024",32LQ643BPTA
